name,latitude,longitude,description,info,type,status
Bennett-Tyler,-2.44687990619196,-54.724583812058,Pattern challenge anyone try. Body send culture start test.,"{""address"": ""443 Wheeler Hills\nWest Allenberg, NE 49663"", ""website"": ""https://www.miller.com/""}",COCKTAIL_BAR,ACTIVE
Mullen Ltd,-1.730344,-48.889599,Cover talk pull. Give company quite network practice. Hit anything yet feel environment top indeed ever.,"{""address"": ""36586 Jimmy Hill Suite 351\nWest Jennifer, AL 84719"", ""website"": ""https://lowe.com/""}",NIGHTCLUB,ACTIVE
Russo Inc,-1.776035,-48.789686,Vote physical laugh camera. Professional bar section feeling alone clear. Figure risk challenge oil want spring.,"{""address"": ""779 Linda Point\nNorrishaven, MD 63458"", ""website"": ""https://hernandez.net/""}",CAFE,ACTIVE
Mendez-Cook,-1.734898,-48.863657,True want physical country. Indeed clearly young yeah seem team herself low.,"{""address"": ""36624 William Squares\nEmilyland, VT 22254"", ""website"": ""http://www.schultz.com/""}",WINERY,ACTIVE
"Reynolds, Smith and Gardner",-1.24438,-48.242828,Particular visit respond give community language believe. Fear employee wonder join push real floor. Hard newspaper send account institution should.,"{""address"": ""205 White Point\nEast Kathrynland, IN 63172"", ""website"": ""https://www.jacobs.com/""}",ROOFTOP_BAR,ACTIVE
Rojas-Dillon,-1.289249,-48.153683,Thought owner team three. Answer she staff near hit traditional figure. Relate wrong reason court anything team sure.,"{""address"": ""USCGC Brown\nFPO AE 96798"", ""website"": ""https://www.hernandez.com/""}",FOOD_TRUCK,ACTIVE
Huffman-Holland,-1.362394,-48.2419,Son north property draw great. Money friend great. Argue despite she each western.,"{""address"": ""70892 Archer Square Apt. 884\nBridgetburgh, WV 77705"", ""website"": ""https://warner.biz/""}",PUB,ACTIVE
Rogers-Dixon,-1.366051,-48.357772,Watch yes beautiful eat instead middle might. Strategy majority always minute player why mind. Challenge drug up government truth around into join. Population few consider next.,"{""address"": ""7103 Hutchinson Shoal\nWest Kelly, RI 92125"", ""website"": ""https://jones-hall.com/""}",ROOFTOP_BAR,ACTIVE
Neal-Hicks,-1.36063451183182,-48.42827886343,Serve see situation role only although city capital. Usually design study international take number everyone.,"{""address"": ""4722 Allen Manors Suite 613\nSouth Jeremy, ME 13690"", ""website"": ""http://www.moody.net/""}",LOUNGE,ACTIVE
Cisneros Group,-1.4682762855654,-48.488025739789,Reduce rate land. Soldier serve memory large wish prepare teacher little. Bad consider involve opportunity call level action. Expert style stand baby.,"{""address"": ""6478 Susan Crossroad Suite 730\nWest Crystal, GA 23349"", ""website"": ""https://www.phillips.net/""}",BREWERY,ACTIVE
Johnson LLC,-1.46364830804217,-48.4851738810539,Hope today recognize five both energy interest. Summer model education purpose reality. This force student home total arrive decision notice.,"{""address"": ""22248 Megan Street Suite 315\nPort Patricia, OH 29946"", ""website"": ""https://hoffman-green.com/""}",COCKTAIL_BAR,ACTIVE
"Clark, Shah and Adams",-1.51224293052588,-48.6218740046024,Tax movie suggest sign who need. Popular behind upon source. Direction these agent letter east thousand after.,"{""address"": ""71392 Monica Spurs\nGabrielleland, MN 20891"", ""website"": ""http://www.wright-murphy.biz/""}",ROOFTOP_BAR,ACTIVE
Gonzalez-Patel,-1.5346891060733,-48.687629699707,Hospital rate catch well. Smile where behavior follow quality team.,"{""address"": ""36658 Woods Shoals\nJohnsonbury, PW 64303"", ""website"": ""https://www.stuart.com/""}",SPORTS_BAR,ACTIVE
"Kemp, Lee and Arnold",-1.618085,-47.477888,Service sometimes fire score ball ten. Seem concern build control support might rather.,"{""address"": ""564 Walton Estates\nPort Andrewton, HI 23154"", ""website"": ""https://www.patel.info/""}",SPORTS_BAR,ACTIVE
