name,latitude,longitude,description,type,status
Hernandez Ltd,-2.44687990619196,-54.724583812058,Poor doctor attention believe.,WINERY,ACTIVE
Jackson Group,-1.730344,-48.889599,Life contain record mother write everything story. Leader energy choice few wish visit arrive cost.,CAFE,ACTIVE
"Griffin, Erickson and Green",-1.776035,-48.789686,Open PM cultural practice on factor behind. Maybe know tend subject.,LOUNGE,ACTIVE
"Norris, Ryan and Mclean",-1.734898,-48.863657,Food human another today. Local dog themselves.,SPORTS_BAR,ACTIVE
Miller Inc,-1.24438,-48.242828,Factor resource away my here use professional. Benefit price degree young wife ball sometimes. Measure physical doctor bill new rise stand.,FOOD_TRUCK,ACTIVE
"Davis, Brown and Johnson",-1.289249,-48.153683,View listen production ground person live. Back loss street always. Return only meeting surface top.,PUB,ACTIVE
"Wong, Hawkins and Lowe",-1.362394,-48.2419,Serve door support lay. Final nice allow national. School eye wall. Left different vote remember avoid.,NIGHTCLUB,ACTIVE
"Bean, Snyder and Jones",-1.366051,-48.357772,Summer purpose whether.,ROOFTOP_BAR,ACTIVE
Martinez-Hernandez,-1.36063451183182,-48.42827886343,Sign oil country. Forward development technology information. Result training goal four.,FOOD_TRUCK,ACTIVE
Leach-Steele,-1.4682762855654,-48.488025739789,Car foot wide indeed. Ahead wonder apply trade.,LOUNGE,ACTIVE
Alvarez and Sons,-1.46364830804217,-48.4851738810539,Car now federal. Operation hit customer hundred.,COCKTAIL_BAR,ACTIVE
"Johnson, Hawkins and Ortiz",-1.51224293052588,-48.6218740046024,Exactly interview hair understand. Nothing work feel house evening she book good.,BAR,ACTIVE
Jones PLC,-1.5346891060733,-48.687629699707,Onto everyone respond everyone seek purpose against. Suggest I or have bill avoid. Sometimes cultural why career. Message walk they rich here.,BREWERY,ACTIVE
"Leonard, Davis and Hickman",-1.618085,-47.477888,Compare protect have fear him. Become live newspaper doctor practice especially. Husband many million threat good across article. Bar spring move claim be from personal.,CAFE,ACTIVE
Harrington and Sons,-1.128448,-47.618979,Ability environment environmental close party now. Prepare skin or adult.,SPORTS_BAR,ACTIVE
Reid PLC,-1.344167,-47.576944,Cause positive join third never class let. Activity effort white turn benefit situation first home. Then sort people right small computer break.,CAFE,ACTIVE
Franklin-Choi,-1.293645,-47.930283,Herself also necessary just radio. Hear southern certain treat money task early true.,WINERY,ACTIVE
"Hoffman, Potter and Thompson",-1.726953,-45.142788,Firm war quality security field. Growth job write treat political morning help lay.,FOOD_TRUCK,ACTIVE
Rollins-Avery,-1.066352,-46.76424,Author such eye. Couple foot blue without party. Add sometimes religious ground find memory. Month nature use.,LOUNGE,ACTIVE
Wallace Group,-1.194844,-47.186714,Cup western consumer discussion. Development weight brother animal. Happy word or what region address. Go performance move affect well.,FOOD_TRUCK,ACTIVE
"Montes, Logan and Simmons",-1.531397,-46.892469,Could yard test particular state lead attention. Nice heavy try unit human lot concern. World answer argue how thought word.,PUB,ACTIVE
Carrillo Group,-1.803132,-46.320892,Inside very few quite face cold purpose. Often yeah realize somebody watch.,BAR,ACTIVE
"Gardner, West and Thomas",-1.849856,-45.110703,Mrs spring affect.,ROOFTOP_BAR,ACTIVE
